Vnum	Name	Rank	Type	BattleType	Level	ScalePct	Size	AiFlags	MountCapacity	RaceFlags	ImmuneFlags	Empire	Folder	OnClick	St	Dx	Ht	Iq	MinDamage	MaxDamage	MaxHp	RegenCycle	RegenPercent	MinGold	MaxGold	Exp	Def	AttackSpeed	MoveSpeed	AggressiveHpPct	AggressiveSight	AttackRange	DropItemGroup	ResurrectionVnum	EnchantCurse	EnchantSlow	EnchantPoison	EnchantStun	EnchantCritical	EnchantPenetrate	ResistSword	ResistTwoHanded	ResistDagger	ResistBell	ResistFan	ResistBow	ResistClaw	ResistFire	ResistElect	ResistMagic	ResistWind	ResistPoison	ResistBleeding	AttElec	AttFire	AttIce	AttWind	AttEarth	AttDark	DamMultiply	SummonVnum	DrainSp	MobColor	PolymorphItem	SkillLevel0	SkillVnum0	SkillLevel1	SkillVnum1	SkillLevel2	SkillVnum2	SkillLevel3	SkillVnum3	SkillLevel4	SkillVnum4	SpBerserk	SpStoneskin	SpGodspeed	SpDeathblow	SpRevive
101	101	PAWN	MONSTER	MELEE	1	100			0	ANIMAL		0	stray_dog	0	3	6	5	2	20	24	126	6	7	18	27	30	4	100	250	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	102	PAWN	MONSTER	MELEE	3	100			0	ANIMAL		0	wolf	0	4	9	7	2	23	28	162	6	7	23	34	78	6	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	103	PAWN	MONSTER	MELEE	4	100			0	ANIMAL		0	wolf	0	8	5	10	3	25	30	182	6	7	25	38	102	7	100	130	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	104	PAWN	MONSTER	MELEE	6	100			0	ANIMAL		0	wolf	0	9	12	6	3	25	38	225	6	7	30	45	150	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	105	PAWN	MONSTER	MELEE	9	100			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	297	6	7	37	56	222	13	80	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	106	PAWN	MONSTER	MELEE	13	100			0	ANIMAL		0	wolf	0	21	21	10	5	40	49	412	6	7	47	70	318	17	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	107	S_PAWN	MONSTER	MELEE	16	100			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	614	6	12	72	84	468	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	108	PAWN	MONSTER	MELEE	7	100			0	ANIMAL		0	wild_boar	0	14	7	10	3	30	37	248	6	7	32	49	174	11	80	100	30	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	109	S_PAWN	MONSTER	MELEE	10	100			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	389	3	7	56	84	296	14	80	100	30	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	110	PAWN	MONSTER	POWER	12	100			0	ANIMAL		0	bear	0	20	10	20	5	39	47	381	6	7	44	67	294	16	100	70	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	111	S_PAWN	MONSTER	TANKER	15	100			0	ANIMAL		0	bear	0	14	17	34	6	44	53	572	6	7	76	114	440	19	100	100	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	112	PAWN	MONSTER	POWER	19	100			0	ANIMAL		0	bear	0	36	14	21	7	50	62	624	6	7	61	92	770	24	100	100	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	113	S_PAWN	MONSTER	POWER	21	100			0	ANIMAL		0	bear	0	35	15	23	8	54	66	845	6	12	94	126	1020	26	100	100	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	114	PAWN	MONSTER	POWER	18	100			0	ANIMAL		0	tiger	0	18	20	27	7	49	60	585	6	12	59	88	730	22	100	100	50	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	115	S_PAWN	MONSTER	POWER	24	100		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1007	10	22	94	123	1164	29	100	130	50	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	131	KNIGHT	MONSTER	MELEE	8	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	31	8	32	39	435	6	7	60	91	396	12	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	132	S_KNIGHT	MONSTER	MELEE	9	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	23	24	31	8	33	41	743	6	7	80	121	888	13	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	133	KNIGHT	MONSTER	MELEE	11	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	32	8	37	45	564	6	7	77	116	540	15	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	134	S_KNIGHT	MONSTER	MELEE	14	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	24	33	32	8	42	51	1110	6	7	116	175	1368	18	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	135	KNIGHT	MONSTER	MELEE	18	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	17	25	25	8	49	60	936	6	7	116	175	876	22	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	136	S_KNIGHT	MONSTER	MELEE	21	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	33	17	17	8	42	78	1761	6	12	127	154	2040	26	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	137	KNIGHT	MONSTER	MELEE	12	100		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	17	26	9	30	56	610	6	7	83	124	588	16	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	138	S_KNIGHT	MONSTER	MELEE	15	100		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	18	26	9	44	53	1192	6	7	124	186	1464	19	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	139	KNIGHT	MONSTER	MELEE	17	100		AGGR	0	ANIMAL	CURSE	0	bear	0	36	18	27	9	37	68	875	6	7	111	166	828	21	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	140	S_KNIGHT	MONSTER	TANKER	20	100		AGGR	0	ANIMAL	CURSE	0	bear	0	36	19	27	9	52	64	1659	6	7	160	240	1944	25	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	141	KNIGHT	MONSTER	TANKER	24	100		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	46	85	1342	6	7	150	225	1164	29	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	142	S_KNIGHT	MONSTER	TANKER	26	100		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	62	76	2342	4	12	123	136	2520	31	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	143	KNIGHT	MONSTER	POWER	24	100		AGGR	0	ANIMAL	CURSE	0	tiger	0	28	38	19	9	52	79	1342	6	12	150	178	1164	29	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	144	S_KNIGHT	MONSTER	POWER	29	100		AGGR	0	ANIMAL	CURSE	0	tiger	0	39	30	20	10	53	98	2685	9	22	145	167	2808	34	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	151	S_KNIGHT	MONSTER	MELEE	9	100			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	450	6	5	125	176	200	15	80	100	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	152	S_KNIGHT	MONSTER	MELEE	16	100			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	800	8	10	100	150	400	25	80	130	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	153	S_KNIGHT	MONSTER	MELEE	10	100			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	600	6	5	60	140	240	15	80	100	30	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	154	S_KNIGHT	MONSTER	POWER	21	100			0	ANIMAL		0	bear	0	35	15	23	8	54	66	1000	8	10	150	200	440	26	100	100	40	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	155	S_KNIGHT	MONSTER	POWER	24	100		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1200	15	20	177	254	500	29	100	130	50	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	171	PAWN	MONSTER	MELEE	1	100			0	ANIMAL		0	stray_dog	0	3	6	5	2	24	29	101	6	7	18	27	22	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	172	PAWN	MONSTER	MELEE	3	100			0	ANIMAL		0	wolf	0	4	9	7	2	28	34	129	6	7	23	34	54	6	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	173	PAWN	MONSTER	MELEE	4	100			0	ANIMAL		0	wolf	0	8	5	10	3	30	36	145	6	7	25	38	72	7	100	130	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	174	PAWN	MONSTER	MELEE	6	100			0	ANIMAL		0	wolf	0	9	12	6	3	30	46	180	6	7	30	45	106	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	175	PAWN	MONSTER	MELEE	9	100			0	ANIMAL		0	wolf	0	14	8	16	4	40	49	238	6	7	37	56	156	13	80	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	176	PAWN	MONSTER	MELEE	13	100			0	ANIMAL		0	wolf	0	21	21	10	5	48	59	329	6	7	47	70	222	17	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	177	S_PAWN	MONSTER	MELEE	16	100			0	ANIMAL		0	wolf	0	23	24	12	6	54	66	491	6	12	80	120	328	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	178	PAWN	MONSTER	MELEE	7	100			0	ANIMAL		0	wild_boar	0	14	7	10	3	36	44	198	6	7	32	49	122	11	80	100	30	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	179	S_PAWN	MONSTER	MELEE	10	100			0	ANIMAL		0	wild_boar	0	22	9	13	4	42	52	311	3	7	56	84	206	14	80	100	30	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	180	PAWN	MONSTER	POWER	12	100			0	ANIMAL		0	bear	0	20	10	20	5	47	56	305	6	7	44	67	206	16	100	70	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	181	S_PAWN	MONSTER	TANKER	15	100			0	ANIMAL		0	bear	0	14	17	34	6	53	64	458	6	7	76	114	308	19	100	100	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	182	PAWN	MONSTER	POWER	19	100			0	ANIMAL		0	bear	0	36	14	21	7	60	74	499	6	7	61	92	540	24	100	100	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	183	S_PAWN	MONSTER	POWER	21	100			0	ANIMAL		0	bear	0	35	15	23	8	65	79	676	6	12	100	150	714	26	100	100	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
