VNUM	LOCALE_NAME
1	Yang
2	Anglická verze
10	Mee+0
11	Mee+1
12	Mee+2
13	Mee+3
14	Mee+4
15	Mee+5
16	Mee+6
17	Mee+7
18	Mee+8
19	Mee+9
20	Dlouhý mee+0
21	Dlouhý mee+1
22	Dlouhý mee+2
23	Dlouhý mee+3
24	Dlouhý mee+4
25	Dlouhý mee+5
26	Dlouhý mee+6
27	Dlouhý mee+7
28	Dlouhý mee+8
29	Dlouhý mee+9
30	Srpovitý mee+0
31	Srpovitý mee+1
32	Srpovitý mee+2
33	Srpovitý mee+3
34	Srpovitý mee+4
35	Srpovitý mee+5
36	Srpovitý mee+6
37	Srpovitý mee+7
38	Srpovitý mee+8
39	Srpovitý mee+9
40	Bambusový mee+0
41	Bambusový mee+1
42	Bambusový mee+2
43	Bambusový mee+3
44	Bambusový mee+4
45	Bambusový mee+5
46	Bambusový mee+6
47	Bambusový mee+7
48	Bambusový mee+8
49	Bambusový mee+9
50	Široký mee+0
51	Široký mee+1
52	Široký mee+2
53	Široký mee+3
54	Široký mee+4
55	Široký mee+5
56	Široký mee+6
57	Široký mee+7
58	Široký mee+8
59	Široký mee+9
60	Stoíbrný mee+0
61	Stoíbrný mee+1
62	Stoíbrný mee+2
63	Stoíbrný mee+3
64	Stoíbrný mee+4
65	Stoíbrný mee+5
66	Stoíbrný mee+6
67	Stoíbrný mee+7
68	Stoíbrný mee+8
69	Stoíbrný mee+9
70	Orchideomee+0
71	Orchideomee+1
72	Orchideomee+2
73	Orchideomee+3
74	Orchideomee+4
75	Orchideomee+5
76	Orchideomee+6
77	Orchideomee+7
78	Orchideomee+8
79	Orchideomee+9
80	Jedenapulruení mee+0
81	Jedenapulruení mee+1
82	Jedenapulruení mee+2
83	Jedenapulruení mee+3
84	Jedenapulruení mee+4
85	Jedenapulruení mee+5
86	Jedenapulruení mee+6
87	Jedenapulruení mee+7
88	Jedenapulruení mee+8
89	Jedenapulruení mee+9
90	Barbarský mee+0
91	Barbarský mee+1
92	Barbarský mee+2
93	Barbarský mee+3
94	Barbarský mee+4
95	Barbarský mee+5
96	Barbarský mee+6
97	Barbarský mee+7
98	Barbarský mee+8
99	Barbarský mee+9
100	Krvavý mee+0
101	Krvavý mee+1
102	Krvavý mee+2
103	Krvavý mee+3
104	Krvavý mee+4
105	Krvavý mee+5
106	Krvavý mee+6
107	Krvavý mee+7
108	Krvavý mee+8
109	Krvavý mee+9
110	Velký mee+0
111	Velký mee+1
112	Velký mee+2
113	Velký mee+3
114	Velký mee+4
115	Velký mee+5
116	Velký mee+6
117	Velký mee+7
118	Velký mee+8
119	Velký mee+9
120	Mee kouzelníka+0
121	Mee kouzelníka+1
122	Mee kouzelníka+2
123	Mee kouzelníka+3
124	Mee kouzelníka+4
125	Mee kouzelníka+5
126	Mee kouzelníka+6
127	Mee kouzelníka+7
128	Mee kouzelníka+8
129	Mee kouzelníka+9
130	Pulmisíení mee+0
131	Pulmisíení mee+1
132	Pulmisíení mee+2
133	Pulmisíení mee+3
134	Pulmisíení mee+4
135	Pulmisíení mee+5
136	Pulmisíení mee+6
137	Pulmisíení mee+7
138	Pulmisíení mee+8
139	Pulmisíení mee+9
140	Bitevní mee+0
141	Bitevní mee+1
142	Bitevní mee+2
143	Bitevní mee+3
144	Bitevní mee+4
145	Bitevní mee+5
146	Bitevní mee+6
147	Bitevní mee+7
148	Bitevní mee+8
149	Bitevní mee+9
150	Ozubená eepel ducha+0
151	Ozubená eepel ducha+1
152	Ozubená eepel ducha+2
153	Ozubená eepel ducha+3
154	Ozubená eepel ducha+4
155	Ozubená eepel ducha+5
156	Ozubená eepel ducha+6
157	Ozubená eepel ducha+7
158	Ozubená eepel ducha+8
159	Ozubená eepel ducha+9
160	Mee víly+0
161	Mee víly+1
162	Mee víly+2
163	Mee víly+3
164	Mee víly+4
165	Mee víly+5
166	Mee víly+6
167	Mee víly+7
168	Mee víly+8
169	Mee víly+9
170	Bodák+0
171	Bodák+1
172	Bodák+2
173	Bodák+3
174	Bodák+4
175	Bodák+5
176	Bodák+6
177	Bodák+7
178	Bodák+8
179	Bodák+9
180	Jedovatý mee+0
181	Jedovatý mee+1
182	Jedovatý mee+2
183	Jedovatý mee+3
184	Jedovatý mee+4
185	Jedovatý mee+5
186	Jedovatý mee+6
187	Jedovatý mee+7
188	Jedovatý mee+8
189	Jedovatý mee+9
190	Lví mee+0
191	Lví mee+1
192	Lví mee+2
193	Lví mee+3
194	Lví mee+4
195	Lví mee+5
196	Lví mee+6
197	Lví mee+7
198	Lví mee+8
199	Lví mee+9
200	Oezná eepel+0
201	Oezná eepel+1
202	Oezná eepel+2
203	Oezná eepel+3
204	Oezná eepel+4
205	Oezná eepel+5
206	Oezná eepel+6
207	Oezná eepel+7
208	Oezná eepel+8
209	Oezná eepel+9
210	Smrtící eepel+0
211	Smrtící eepel+1
212	Smrtící eepel+2
213	Smrtící eepel+3
214	Smrtící eepel+4
215	Smrtící eepel+5
216	Smrtící eepel+6
217	Smrtící eepel+7
218	Smrtící eepel+8
219	Smrtící eepel+9
220	Misíení mee+0
221	Misíení mee+1
222	Misíení mee+2
223	Misíení mee+3
224	Misíení mee+4
225	Misíení mee+5
226	Misíení mee+6
227	Misíení mee+7
228	Misíení mee+8
229	Misíení mee+9
230	Nebeský mee+0
231	Nebeský mee+1
232	Nebeský mee+2
233	Nebeský mee+3
234	Nebeský mee+4
235	Nebeský mee+5
236	Nebeský mee+6
237	Nebeský mee+7
238	Nebeský mee+8
239	Nebeský mee+9
240	Mee exorcismu+0
241	Mee exorcismu+1
242	Mee exorcismu+2
243	Mee exorcismu+3
244	Mee exorcismu+4
245	Mee exorcismu+5
246	Mee exorcismu+6
247	Mee exorcismu+7
248	Mee exorcismu+8
249	Mee exorcismu+9
250	Eepel démonu+0
251	Eepel démonu+1
252	Eepel démonu+2
253	Eepel démonu+3
254	Eepel démonu+4
255	Eepel démonu+5
256	Eepel démonu+6
257	Eepel démonu+7
258	Eepel démonu+8
259	Eepel démonu+9
