VNUM	LOCALE_NAME
101	Divoký pes
102	Vlk
103	Silný vlk
104	Modrý vlk
105	Modrý silný vlk
106	Šedý vlk
107	Šedý silný vlk
108	Divoeák
109	Eervený divoeák
110	Medvid
111	Medvid grizzly
112	Eerný medvid
113	Hnidý medvid
114	Tygr
115	Bílý tygr
131	Prokletý vlk
132	Prokletý silný vlk
133	Prokletý modrý vlk
134	Prokletý modrý silný vlk
135	Prokletý šedý vlk
136	Prokletý šedý silný vlk
137	Prokletý divoeák
138	Prokletý eervený divoeák
139	Prokletý medvid
140	Prokletý medvid grizzly
141	Prokletý eerný medvid
142	Prokletý hnidý medvid
143	Prokletý tygr
144	Prokletý bílý tygr
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Hladový divoký pes
172	Hladový vlk
173	Hladový silný vlk
174	Hladový modrý vlk
175	Hladový modrý silný vlk
176	Hladový šedý vlk
177	Hladový šedý silný vlk
178	Hladový divoeák
179	Hladový eervený divoeák
180	Hladový medvid
181	Hladový medvid grizzly
182	Hladový eerný medvid
183	Hladový hnidý medvid
184	Hladový tygr
185	Hladový bílý tygr
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Vojaeka Bílé Poísahy
302	Lueištnice Bílé Poísahy
303	Generálka Bílé Poísahy
304	Velitelka Bílé Poísahy
331	Vojaeka Bílé Poísahy
332	Lueištnice Bílé Poísahy
333	Generálka Bílé Poísahy
334	Velitelka Bílé Poísahy
351	Zbabilá vojaeka Poísahy
352	Zbabilý stoelec Poísahy
353	Zbabilý generál Poísahy
354	Zbabilý velitel Poísahy
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Bezduchá Mi-Jung
396	Bezduchá Eun-Jung
397	Bezduchá Se-Rang
398	Bezduchá Jin-Hee
401	Voják Eerného vitru
402	Posedlý eerným vitrem
403	Lueištník Eerného vitru
404	Jak-To Eerného vitru
405	To-Su Eerného vitru
406	Gu-Ryung Eerného vitru
431	Voják Eerné bouoe
432	Posedlý eernou bouoí
433	Lueištník Eerné bouoe
434	Joh-Hwan Eerné bouoe
435	Kyuk-Jang Eerné bouoe
436	Pho-Hwan Eerné bouoe
451	Zlý voják Eerné bouoe
452	Zlý posedlý bouoí
453	Zlý lueištník Bouoe
454	Zlý Joh-Hwan Bouoe
455	Zlý Kyuk-Jang Bouoe
456	Zlý Pho-Hwan Bouoe
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Divoký pišák
502	Divoký poddaný
503	Divoký lukostoelec
504	Divoký generál
531	Brutální voják
532	Brutální posedlý
533	Brutální lukostoelec
534	Brutální specialista
551	Silný divoký pišák
552	Silný divoký poddaný
553	Silný divoký lukostoelec
554	Silný divoký generál
591	Brutální velitel
595	Brutální Geum-Chul
601	Ork
602	Oreí zvid
603	Oreí bojovník
604	Oreí šaman
631	Silný ork
632	Silný oreí zvid
633	Silný oreí bojovník
634	Silný oreí šaman
635	Silný oreí generál
636	Eerný ork
637	Eerný oboí ork
651	Hrdý velký ork
652	Hrdý velký oreí zvid
653	Hrdý velký oreí bojovník
654	Hrdý velký oreí šaman
655	Hrdý velký oreí generál
656	Hrdý eerný ork
657	Hrdý eerný oboí ork
691	Vrchní ork
692	Silný vrchní ork
693	Obrozený vudce orku
701	Tmavý fanatik
702	Tmavý Arahan
703	Tmavý bojovník
704	Vrchní tmavý arahan
705	Tmavý popraveí
706	Tmavý mueitel
707	Tmavý zaoíkávae
731	Hrdý tmavý fanatik
732	Hrdý tmavý arahan
733	Hrdý tmavý bojovník
734	Hrdý tmavý plukovník
735	Hrdý tmavý stoelec
736	Silný tmavý mueitel
737	Silný tmavý zaoíkávae
751	Vysoký fanatik
752	Vysoký arahan
753	Vysoký bojovník arahan
754	Vysoký plukovník arahan
755	Vysoký popraveí
756	Vysoký mueitel
757	Vysoký zaoíkávae
771	Brutální fanatik
772	Brutální arahan
773	Brutální bojovník arahan
774	Brutál. plukovník arahan
775	Brutální popraveí
776	Brutální mueitel
777	Brutální zaoíkávae
791	Tmavý vudce
792	Tmavý vudce duchu
793	Silný tmavý vudce
794	Silný vudce duchu
795	Silný bojovník
796	Silný tmavý bojovník
901	Duch mrtvol
902	Pes útrapy
903	Muž útrapy
904	Bojovník s meeem útrapy
905	Oštipao útrapy
906	Lukostoelec útrapy
907	Vudce útrapy
