Vnum	LocaleName
1	Taglio a tre vie
106	Lancio di lampi
107	Evocare i lampi
108	Artiglio di lampo
109	Cura
110	Rapidità
111	Attacco+
121	Guida
122	Combo
123	Pescare
124	Scienza mineraria
125	Produzione di oggetti
126	Shinsoo
127	Chunjo
128	Jinno
129	Trasformazione
130	Cavalcare
131	Chiamare il cavallo
132	Attacca automaticamente
137	Combattimento a cavallo
138	Pestone di cavallo
139	Onda potente
140	Tempesta di frecce
151	Occhi di drago
152	Sangue del Diol Drago
153	Benedizione del Dio Drago
154	Armatura benedetta
155	Accelerazione
156	Rabbia del Dio Drago
157	Aiuto della magia
16	Penetrazione
17	Colpo potente
171	Respiro del lupo
172	Salto del lupo
175	Anima del lupo indaco
18	Pestone
19	Corpo forte
2	Vortice di spada
20	Colpo di spada
21	Orb della spada
221	Contrattacco Vortice di spada
222	Contrattacco Tranello
223	Contrattacco Schiocco di dita
224	Contrattacco Tiro del drago
225	Contrattacco Penetrazione
226	Contrattacco Freccia di fuoco
227	Contrattacco Colpo oscuro
228	Contrattacco Evocare i lampi
229	Contrattacco Respiro del lupo
236	Boost Vortice di spada
237	Boost Tranello
238	Boost Schiocco di dita
239	Boost Tiro del drago
240	Boost Penetrazione
241	Boost Freccia di fuoco
242	Boost Colpo oscuro
243	Boost Evocare i lampi
244	Boost Respiro del lupo
3	Estasi da combattimento
31	Tranello
32	Attacco lampo
33	Vortice del pugnale
34	Camuffamento
35	Nuvola velenosa
36	Veleno insidioso
4	Aura della spada
46	Tiro ripetuto
47	Pioggia di frecce
48	Freccia di fuoco
49	Passo piumato
5	Sibilare
50	Freccia avvelenata
51	Colpo sfavillante
6	Volontà di vivere
61	Schiocco di dita
62	Vortice del drago
63	Lama incantata
64	Paura
65	Armatura incantata
66	Annullamento magia
76	Colpo oscuro
77	Colpo di fiamma
78	Spirito della fiamma
79	Protezione oscura
80	Colpo degli spiriti
81	Pietra oscura
91	Talismano volante
92	Tiro del drago
93	Ruggito del drago
94	Benedizione
95	Riflessione
96	Aiuto del drago
133	Carisma
134	Ispirazione
176	Terremoto
177	Luce astrale
178	Tempestus
179	Infernus
180	Onda letale
181	Meteora
182	Scudo etereo
183	Cicatrix
246	Precisione
170	Strazio
173	Artiglio di lupo
174	Anima del lupo purpureo
