Vnum	LocaleName
1	Trzystronne Ciêcie
106	Rzut Piorunem
107	Przywo³anie B³yskawicy
108	Burzowy Szpon
109	Leczenie
110	Zwinnoœæ
111	Atak+
121	Dowodzenie
122	Kombinacja
123	£owienie
124	Górnictwo
125	Tworzenie Przedmiotu
126	Jêzyk Shinsoo
127	Jêzyk Chunjo
128	Jêzyk Jinno
129	Polimorfia
130	JeŸdziectwo
131	Przywo³aj Konia
132	Auto Atak
137	Ciêcie z Siod³a
138	St¹pniêcie Konia
139	Fala Mocy
140	Grad Strza³
151	Smocze Oczy
152	Krew Boga Smoków
153	B³ogos³awieñstwo Boga Smoków
154	Œwiêta Zbroja
155	Akceleracja
156	Furia Boga Smoków
157	Magiczna Pomoc
16	Duchowe Uderzenie
17	Walniêcie
171	Wilczy Dech
172	Wilczy Skok
175	Dusza Wilka Indygo
18	T¹pniêcie
19	Silne Cia³o
2	Wir Miecza
20	Uderzenie Miecza
21	Kr¹g Mieczy
221	Riposta: Wir Miecza
222	Riposta: Zasadzka
223	Riposta: Uderzenie Palcem
224	Riposta: Strzelaj¹cy Smok
225	Riposta: Duchowe Uderzenie
226	Riposta: Ognista Strza³a
227	Riposta: Mroczne Uderzenie
228	Riposta: Przywo³anie B³yskawicy
229	Riposta: Wilczy Dech
236	Dopalacz: Wir Miecza
237	Dopalacz: Zasadzka
238	Dopalacz: Uderzenie Palcem
239	Dopalacz: Strzelaj¹cy Smok
240	Dopalacz: Duchowe Uderzenie
241	Dopalacz: Ognista Strza³a
242	Dopalacz: Mroczne Uderzenie
243	Dopalacz: Przywo³anie B³yskawicy
244	Dopalacz: Wilczy Dech
3	Berserk
31	Zasadzka
32	Szybki Atak
33	Wiruj¹cy Sztylet
34	Krycie Siê
35	Truj¹ca Chmura
36	Wolno dzia³aj¹ca trucizna
4	Aura Miecza
46	Powtarzalny Strza³
47	Deszcz Strza³
48	Ognista Strza³a
49	Bezszelestny Chód
5	Szar¿a
50	Truj¹ca Strza³a
51	Iskrz¹ce Uderzenie
6	Wola ¯ycia
61	Uderzenie Palcem
62	Smoczy Wir
63	Czarowane Ostrze
64	Strach
65	Czarowana Zbroja
66	Rozproszenie Magii
76	Mroczne Uderzenie
77	Ogniste Uderzenie
78	Ognisty Duch
79	Mroczna Ochrona
80	Duchowy Cios
81	Mroczna Sfera
91	Lataj¹cy Talizman
92	Strzelaj¹cy Smok
93	Smoczy Skowyt
94	B³ogos³awieñstwo
95	Odbicie
96	Pomoc Smoka
133	Charyzma
134	Inspiracja
176	Trzêsienie
177	Œwiat³o Gwiazd
178	Strza³ Wichury
179	Piekielny Cios
180	Fala Œmierci
181	Meteor
182	Tarcza Eteru
183	Burza Szponów
246	Precyzja
170	Rozedrzeæ
173	Wilczy Pazur
174	Dusza Purpurowego Wilka
