VNUM	LOCALE_NAME
1	Yang
2	Versiune în limba Româna
10	Sabie+0
11	Sabie+1
12	Sabie+2
13	Sabie+3
14	Sabie+4
15	Sabie+5
16	Sabie+6
17	Sabie+7
18	Sabie+8
19	Sabie+9
20	Sabie lunga+0
21	Sabie lunga+1
22	Sabie lunga+2
23	Sabie lunga+3
24	Sabie lunga+4
25	Sabie lunga+5
26	Sabie lunga+6
27	Sabie lunga+7
28	Sabie lunga+8
29	Sabie lunga+9
30	Iatagan+0
31	Iatagan+1
32	Iatagan+2
33	Iatagan+3
34	Iatagan+4
35	Iatagan+5
36	Iatagan+6
37	Iatagan+7
38	Iatagan+8
39	Iatagan+9
40	Sabie bambus+0
41	Sabie bambus+1
42	Sabie bambus+2
43	Sabie bambus+3
44	Sabie bambus+4
45	Sabie bambus+5
46	Sabie bambus+6
47	Sabie bambus+7
48	Sabie bambus+8
49	Sabie bambus+9
50	Sabie lata+0
51	Sabie lata+1
52	Sabie lata+2
53	Sabie lata+3
54	Sabie lata+4
55	Sabie lata+5
56	Sabie lata+6
57	Sabie lata+7
58	Sabie lata+8
59	Sabie lata+9
60	Sabie de argint+0
61	Sabie de argint+1
62	Sabie de argint+2
63	Sabie de argint+3
64	Sabie de argint+4
65	Sabie de argint+5
66	Sabie de argint+6
67	Sabie de argint+7
68	Sabie de argint+8
69	Sabie de argint+9
70	Sabie orhidee+0
71	Sabie orhidee+1
72	Sabie orhidee+2
73	Sabie orhidee+3
74	Sabie orhidee+4
75	Sabie orhidee+5
76	Sabie orhidee+6
77	Sabie orhidee+7
78	Sabie orhidee+8
79	Sabie orhidee+9
80	Sabie bastard+0
81	Sabie bastard+1
82	Sabie bastard+2
83	Sabie bastard+3
84	Sabie bastard+4
85	Sabie bastard+5
86	Sabie bastard+6
87	Sabie bastard+7
88	Sabie bastard+8
89	Sabie bastard+9
90	Sabie barbar+0
91	Sabie barbar+1
92	Sabie barbar+2
93	Sabie barbar+3
94	Sabie barbar+4
95	Sabie barbar+5
96	Sabie barbar+6
97	Sabie barbar+7
98	Sabie barbar+8
99	Sabie barbar+9
100	Sabie sângeroasa+0
101	Sabie sângeroasa+1
102	Sabie sângeroasa+2
103	Sabie sângeroasa+3
104	Sabie sângeroasa+4
105	Sabie sângeroasa+5
106	Sabie sângeroasa+6
107	Sabie sângeroasa+7
108	Sabie sângeroasa+8
109	Sabie sângeroasa+9
110	Sabie mare+0
111	Sabie mare+1
112	Sabie mare+2
113	Sabie mare+3
114	Sabie mare+4
115	Sabie mare+5
116	Sabie mare+6
117	Sabie mare+7
118	Sabie mare+8
119	Sabie mare+9
120	Sabie vrajitor+0
121	Sabie vrajitor+1
122	Sabie vrajitor+2
123	Sabie vrajitor+3
124	Sabie vrajitor+4
125	Sabie vrajitor+5
126	Sabie vrajitor+6
127	Sabie vrajitor+7
128	Sabie vrajitor+8
129	Sabie vrajitor+9
130	Sabie semiluna+0
131	Sabie semiluna+1
132	Sabie semiluna+2
133	Sabie semiluna+3
134	Sabie semiluna+4
135	Sabie semiluna+5
136	Sabie semiluna+6
137	Sabie semiluna+7
138	Sabie semiluna+8
139	Sabie semiluna+9
140	Sabie de batalie+0
141	Sabie de batalie+1
142	Sabie de batalie+2
143	Sabie de batalie+3
144	Sabie de batalie+4
145	Sabie de batalie+5
146	Sabie de batalie+6
147	Sabie de batalie+7
148	Sabie de batalie+8
149	Sabie de batalie+9
150	Lama Dintele Stafiei+0
151	Lama Dintele Stafiei+1
152	Lama Dintele Stafiei+2
153	Lama Dintele Stafiei+3
154	Lama Dintele Stafiei+4
155	Lama Dintele Stafiei+5
156	Lama Dintele Stafiei+6
157	Lama Dintele Stafiei+7
158	Lama Dintele Stafiei+8
159	Lama Dintele Stafiei+9
160	Sabie nimfa+0
161	Sabie nimfa+1
162	Sabie nimfa+2
163	Sabie nimfa+3
164	Sabie nimfa+4
165	Sabie nimfa+5
166	Sabie nimfa+6
167	Sabie nimfa+7
168	Sabie nimfa+8
169	Sabie nimfa+9
170	Spada+0
171	Spada+1
172	Spada+2
173	Spada+3
174	Spada+4
175	Spada+5
176	Spada+6
177	Spada+7
178	Spada+8
179	Spada+9
180	Sabie otravita+0
181	Sabie otravita+1
182	Sabie otravita+2
183	Sabie otravita+3
184	Sabie otravita+4
185	Sabie otravita+5
186	Sabie otravita+6
187	Sabie otravita+7
188	Sabie otravita+8
189	Sabie otravita+9
190	Sabie leu+0
191	Sabie leu+1
192	Sabie leu+2
193	Sabie leu+3
194	Sabie leu+4
195	Sabie leu+5
196	Sabie leu+6
197	Sabie leu+7
198	Sabie leu+8
199	Sabie leu+9
200	Lama+0
201	Lama+1
202	Lama+2
203	Lama+3
204	Lama+4
205	Lama+5
206	Lama+6
207	Lama+7
208	Lama+8
209	Lama+9
210	Lama Mortala+0
211	Lama Mortala+1
212	Lama Mortala+2
213	Lama Mortala+3
214	Lama Mortala+4
215	Lama Mortala+5
216	Lama Mortala+6
217	Lama Mortala+7
218	Lama Mortala+8
219	Lama Mortala+9
220	Sabie luna+0
221	Sabie luna+1
222	Sabie luna+2
223	Sabie luna+3
224	Sabie luna+4
225	Sabie luna+5
226	Sabie luna+6
227	Sabie luna+7
228	Sabie luna+8
229	Sabie luna+9
230	Sabie cer+0
231	Sabie cer+1
232	Sabie cer+2
233	Sabie cer+3
234	Sabie cer+4
235	Sabie cer+5
236	Sabie cer+6
237	Sabie cer+7
238	Sabie cer+8
239	Sabie cer+9
240	Sabie exorcism+0
241	Sabie exorcism+1
242	Sabie exorcism+2
243	Sabie exorcism+3
244	Sabie exorcism+4
