VNUM	LOCALE_NAME
101	Câine salbatic
102	Lup
103	Lup Alpha
104	Lup Albastru
105	Lup Alpha Albastru
106	Lup Gri
107	Lup Alpha Gri
108	Mistre? Salbatic
109	Mistre? Salbatic Roou
110	Urs
111	Urs Grizzly
112	Urs Negru
113	Urs Brun
114	Tigru
115	Tigru Alb
131	Lup Blestemat
132	Lup Blestemat Alpha
133	Lup Blestemat Albastru
134	Lup Alpha Albastru Blest
135	Lup Blestemat Gri
136	Lup Blest Alpha Gri
137	Mistre? Blestemat
138	Mistre? Blestemat Roou
139	Urs Blestemat
140	Urs Blestemat Grizzly
141	Urs Blestemat Negru
142	Urs Blestemat Brun
143	Tigru Blestemat
144	Tigru Blestemat Alb
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Câine salbatic flamând
172	Lup Flamand
173	Lup Flamand Alpha
174	Lup Flamand Albastru
175	Lup Flamand Alpha Albast
176	Lup Flamand Gri
177	Lup Flamand Alpha Gri
178	Mistre? Flamând
179	Mistre? Flamând Roou
180	Urs Flamand
181	Urs Flamând Grizzly
182	Urs Flamand Negru
183	Urs Flamand Brun
184	Tigru Flamand
185	Tigru Flamand Alb
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Amazoana Soldat
302	Arcao Amazoana
303	Amazoana General
304	Amazoana Comandant
331	Amazoana Soldat
332	Amazoana Arcao
333	Amazoana General
334	Amazoana Comandant
351	Amazoana Soldat Laoa
352	Amazoana Arcao Laoa
353	Amazoana General Laoa
354	Amazoana Comandant Laoa
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Tristul de Mi-Jung
396	Tristul de Eun-Jung
397	Tristul Se-Rang
398	Tristul Jin-Hee
401	Soldat vânt negru
402	Posedat de vânt negru
403	Arcao vânt negru
404	vânt negru Jak-To
405	vânt negru To-Su
406	vânt negru Gu-Ryung
431	Soldat de atac negru
432	Posedat de atac negru
433	Arcao negru
434	Joh-Hwan de atac negru
435	Kyuk-Jan de atac negru
436	Pho-Hwan de atac negru
451	Soldat de atac negru rau
452	Posedat de atac rau
453	Arcao de atac rau
454	Joh-Hwan de atac rau
455	Kyuk-Jang de atac rau
456	Pho-Hwan de atac rau
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infanterist Salbatic
502	Salbatic Devotat
503	Arcao salbatic
504	General Salbatic
531	Soldat brutal
532	Posedat brutal
533	Arcao brutal
534	Specialist brutal
551	Infanterist Salbatic Dur
552	Locotenent Salbatic Dur
553	Arcao Salbatic Dur
554	General Salbatic Dur
591	Capitanul Bestie
595	Geum-Chul brutal
601	Ork
602	Spion ork
603	Orc Luptator
604	Orc Vrajitor
631	Orc Elite
632	Orc Elite Cercetao
633	Orc Elite Luptator
634	Orc Elite Vrajitor
635	Orc Elite General
636	Orc Negru
637	Orc Negru Uriao
651	Orc Mare Curajos
652	Orc Mare Cercetao
653	Orc Mare Luptator
654	Orc Mare Vrajitor
655	Orc Mare General
656	Orc Negru Curajos
657	Orc Negru Gigant
691	Orc Sef
692	Orc Elite Sef
693	Orc Sef Spirit
701	Fanatic Intunecat
702	Arahan Întunecat
703	Luptator Întunecat
704	Arahan Întunecat Super
705	Calau întunecat
706	Despot întunecat
707	Incantator Intunecat
731	Fanatic Mandru Intunecat
732	Arahan Întunecat Mândru
733	Luptator întunecat mândr
734	Colonel Întunecat Mândru
735	Puscas Malefic Mandru
736	Despot întunecat mândru
737	Vrajitor întunecat mândr
751	Fanatic înalt
752	Arahan Înalt
753	Arahan Luptator Înalt
754	Arahan Superior Înalt
755	Calau înalt
756	Despot înalt
757	Incântator înalt
771	Fanatic brutal
772	Arahan Brutal
773	Arahan Luptator Brutal
774	Arahan Superior Brutal
775	Calau brutal
776	Despot brutal
777	Incântator brutal
791	Conducator întunecat
792	Conducator Spirit Negru
793	Conducator întun. elita
794	Strigoi Intunecat
795	Luptator de elita
796	Lupt. întunec. de elita
901	Spiritul Cadavrului
902	Câine al ciumei
903	Om al ciumei
904	Luptator sabie al ciumei
905	Luptator suli?a al ciume
906	Arcao al ciumei
907	Comandant al ciumei
931	Spirit Cadavru Furios
932	Câine al ciumei salbatic
933	Om al ciumei salbatic
934	Luptator al ciumei salb.
935	Lupt. suli?a al cium. s.
936	Arcao al ciumei salbatic
937	Com. al ciumei furios
991	Ou al ciumei
992	Purtator de ciuma
993	Purtator de ciuma uriao
1001	Soldat Demon
1002	Arcao Demon
1003	Demon Suli?ao
1004	Demon aaman
1031	Soldat comun
1032	Arcao comun
1033	Luptator Suli?a Comun
1034	aaman comun
1035	Spiritul mâniei
1036	Spiritul haosului
1037	Demon comandant comun
1038	Maestru craniu sabie
1039	Craniu zburator
1040	Spirit nemuritor
1041	Animal demonic
1061	Spirit soldat comun
1062	Spirit arcao comun
1063	Spirit luptator comun
1064	Spirit aaman Comun
1065	Spirit al mâniei comun
1066	Spirit al haosului comun
1067	Spirit comandant comun
1068	Samurai Fantoma
1069	Craniu zburator comun
1070	Spirit nemuritor
1071	Animal demonic
1091	Demon rege
1092	Demon rege mândru
1093	Ingerul cu Coasa
1094	Demon rege comun
1095	Moarte albastra
1096	Áo>ç?Í?O
1101	Ghea?a Fermecata
1102	Balena Ucigaoa de Ghea?a
1103	Insecta de Ghea?a
1104	Leu de ghea?a
1105	Om Înghe?at
1106	Yeti
1107	Golem de Ghea?a
1108	Golem de Ghea?a
1131	Aochii Gheata Lumea Jos
1132	Balena ucigaoa ghea?a
1133	Insecta Inghetata
1134	Leu Ghea?a Lumea Jos
1135	Omul ghe?ii lumii de jos
1136	Yeti Salbatic
1137	Golem de Ghea?a Subteran
1138	Golem de Ghea?a Subteran
1151	Diavol de Ghea?a
1152	Balena Corn de Ghea?a
1153	Insecta de Ghea?a
1154	Seol-Gu
1155	Omul Ghetii
1156	Gigant de Ghea?a
1157	Golem de Ghea?a
1171	Ghea?a fermecata rea
1172	Balena cu corn d gh. rea
1173	Insecta de Ghea?a Rea
1174	Leu de ghea?a rau
1175	Om Rau de Ghea?a
1176	Yeti rau
1177	Golem de Ghea?a Puternic
1191	Vrajitoare de ghea?a
1192	Vrajitoare Rea de Ghea?a
1301	Soldat Brotac
1302	General Brotac
1303	Capcaun
1304	Fantoma Tigrului Galben
1305	General Broasca Taur
1306	Naluca Tigrului Galben
1307	Naluca Tigrului Galben
1308	Naluca Tigrului Galben
1309	Naluca Tigrului Galben
1310	Naluca Tigrului Galben
1331	Soldat Brotac Mare
1332	Liderul General Brotac
1333	Capcaun mare
1334	Duhul Tigrului Galben
1335	Gen. broasca-bou mare
1336	General Broasca Taur
1401	Distrugator
1402	Luptator cu securea
1403	Miria-Luptator
1501	Golem de Piatra
1502	Spargator de Piatra
1503	Golem de Stanca
1601	Capcaun razboinic
1602	Capcaun Macelar
1603	Berserker capcaun
1901	Noua Cozi
1902	Noua Cozi de Elita
1903	Noua Cozi de Elita
1904	Noua Cozi de Elita
1905	Noua Cozi de Elita
1906	Noua Cozi de Elita
2001	Pui de Paianjen
2002	Paianjen Otravitor
2003	Paianjen Otravitor Roou
2004	Paianjen Gheara
2005	Paianjen Soldat
2031	Pui de Paianjen Otravit
2032	Paianjen Toxic Mortal
2033	Paianj Otravit Mort Roou
2034	Paianjen Gheara Toxica
2035	Paianjen Soldat Toxic
2036	Paianjen Soldat Mândru
2037	Paianjen Soldat Otravit
2051	Pui Paianjen Toxic Rau
2052	Paianjen Otravitor Rau
2053	Paianjen Roou Toxic Rau
2054	Paianjen Gheara Tox Rau
2055	Paianjen Soldat Tox Rau
2061	Paianjen Otravitor Mic
2062	Paianjen Toxic Mortal
2063	Paianjen Toxic Roou
2064	Paianjen Gheara Toxica
2065	Paianjen Soldat Toxic
2071	Paianjen Pui Mortal
2072	Pai. otr. mort. brutal
2073	Pai. otr. roou brutal
2074	Pai. otr. cu gheara brut
2075	Paianjen Soldat Mortal
2076	Paianjen Bestial Otravit
2091	Regina Paianjen
2092	Baroneasa Paianjen
2093	Vaduva Neagra
2094	Baron Paianjen
2095	Ou de Paianjen
2101	Vulpe de Desert
2102	Ochi Zburator Deoert
2103	Scorpion Regal
2104	Om Scorpion Mic
2105	Arcao Scorpion
2106	aarpe Spadasin
2107	Arcao aarpe
2108	Tâlhar de Deoert
2131	Om Scorpion
2132	Arcao Scorpion
2133	Luptator sabie oarpe
2134	Arcao aarpe
2135	Tâlhar de Deoert
2151	Vulpe Salbatica de Deser
2152	Calugar Puternic
2153	Scorpion Regal Dur
2154	Om Scorpion Dur
2155	Arcao Dur Scorpion
2156	aarpe Spadasin Dur
2157	Arcao Dur aarpe
2158	Beduin Puternic
2191	Testoasa Gigant
2192	?estoasa de deoert neagr
2201	Tigru Luptator Dur
2202	Spiritul Focului
2203	Tigru Luptator
2204	Flacara
2205	Luptator de Foc
2206	Regele Focului
2207	Regele negru al focului
2231	Tigru Luptator Puternic
2232	Spirit Flacara Dura
2233	Tigru Razboinic Dur
2234	Foc Dur
2235	Razboinic Foc Dur
2291	Dragon Roou
2301	Copac Fantoma
2302	Buturuga Fantoma
2303	Driada
2304	Salcia Fantoma
2305	Copac Rau
2306	Copac Fantoma Uriao
2307	Copac Fantoma Nobil
2311	Copac Roou Fantoma
2312	Buturuga Fantoma Rosie
2313	Driada Rosie
2314	Salcia Fantoma Rosie
2315	Copac Rau Rosu
2401	Setaou Luptator
2402	Vânator Setaou
2403	Setaou Mistic
2404	Conducator Setaou
2411	Soldat Setaou
2412	Arcao Setaou
2413	Judecator Setaou
2414	Comandant Setaou
2415	Comandant Setaou
2431	Setaou Luptator
2432	Vânator Setaou
2433	Setaou Mistic
2434	Conducator Setaou
2451	Soldat Setaou
2452	Arcao Setaou
2453	Judecator Setaou
2454	Comandant Setaou
2491	Capitanul Yonghan
2492	Generalul Yonghan
2493	Beran-Setaou
2494	Capitanul Huashin
2495	Generalul Huashin
2501	Meduzele Iadului
2502	Câinele Iadului
2503	Zombie
2504	Ofi?erul Iadului
2505	Gardianul Iadului
2506	Arcaoul Iadului 2 Capete
2507	Gheare Diabolice
2508	Luptatorul Iadului
2509	Arcaoul Iadului
2510	Suli?aoul Iadului
2511	Parintele Iadului
2512	Maiorul Iadului
2513	Macelarul Iadului
2514	Generalul Iadului
2541	Luptator Satanic
2542	Arcao Satanic
2543	Suli?ao Satanic
2544	Parinte Satanic
2545	Maior Satanic
2546	Macelar Satanic
2547	General Satanic
2591	Tartaros
2592	Ucigasul Iadului
2593	Ucigasul Iadului
2594	Ucigasul Iadului
2595	Erebos
2596	Creatura lui Azrael
2597	Charon
2598	Azrael
2600	Lup Zodiac
2601	Lup Albastru Zodiac
2602	Lykos Zodiac
2603	Arcao Zodiac
2604	Mistre? Salbatic Zodiac
2605	Mistre? Roou Zodiac
2606	Scrofa Zodiac
2607	Mi-Jung Zodiac
2608	Bera Zodiac
2609	Urs Zodiac
2610	Urs Grizzly Zodiac
2611	Urs Brun Zodiac
2612	Eun-Jung Zodiac
2613	Tigris Zodiac
2614	Tigru Zodiac
2615	Tigru Alb Zodiac
2616	Se-Rang Zodiac
2617	Jin-Hee Zodiac
2618	Pui de Paianjen Zodiac
2619	Paianjen Otrav Zodiac
2620	Paianjen Roou Otr Zodiac
2621	Paianjen Gheara Zodiac
2622	Paianjen Gheara Zodiac
2623	Spiritul Focului Zodiac
2624	Tigru Razboinic Zodiac
2625	Flacara Zodiac
2626	Luptator de Foc Zodiac
2627	Rege de Foc Zodiac
2628	Rege de Foc Negru Zodiac
2629	Infanterist Salb Zodiac
2630	Salbatic Devotat Zodiac
2631	Arcao Salbatic Zodiac
2632	General Salbatic Zodiac
2633	Capitan Bestial Zodiac
2634	Ghea?a Fermecata Zodiac
2635	Balena de Ghea?a Zodiac
2636	Insecta de Ghea?a Zodiac
2637	Leu de Ghea?a Zodiac
2638	Omul Ghe?ii Zodiac
2639	Yeti Zodiac
2640	Golem de Ghea?a Zodiac
2641	Vulpe de Deoert Zodiac
2642	Scorpion Regal Zodiac
2643	aarpe Spadasin Zodiac
2644	aarpe Arcao Zodiac
2645	Beduin Zodiac
2646	Soldat Vânt Negr Zodiac
2647	Posedat Vânt Negr Zodiac
2648	Arcao Vânt Negr Zodiac
2649	Mahon Zodiac
2650	Bo Zodiac
2651	Goo-Pae Zodiac
2652	Chuong Zodiac
2653	Om Scorpion Zodiac
2654	Arcao Scorpion Zodiac
2655	Calugar Zodiac
2656	Soldat Brotac Zodiac
2657	Lider Brotac Zodiac
2658	Capcaun Zodiac
2659	Distrugator Zodiac
2660	Luptator Secure Zodiac
2661	Miria Luptator Zodiac
2662	Fanatic Întunecat Zodiac
2663	Arahan Zodiac
2664	Arahan Esoteric Zodiac
2665	Arahan Întunecat Zodiac
