VNUM	LOCALE_NAME
1	Yang
2	Türkçe Sürüm
10	Kiliç+0
11	Kiliç+1
12	Kiliç+2
13	Kiliç+3
14	Kiliç+4
15	Kiliç+5
16	Kiliç+6
17	Kiliç+7
18	Kiliç+8
19	Kiliç+9
20	Uzun Kiliç+0
21	Uzun Kiliç+1
22	Uzun Kiliç+2
23	Uzun Kiliç+3
24	Uzun Kiliç+4
25	Uzun Kiliç+5
26	Uzun Kiliç+6
27	Uzun Kiliç+7
28	Uzun Kiliç+8
29	Uzun Kiliç+9
30	Hilal kiliç+0
31	Hilal kiliç+1
32	Hilal kiliç+2
33	Hilal kiliç+3
34	Hilal kiliç+4
35	Hilal kiliç+5
36	Hilal kiliç+6
37	Hilal kiliç+7
38	Hilal kiliç+8
39	Hilal kiliç+9
40	Bambu Kilici+0
41	Bambu Kilici+1
42	Bambu Kilici+2
43	Bambu Kilici+3
44	Bambu Kilici+4
45	Bambu Kilici+5
46	Bambu Kilici+6
47	Bambu Kilici+7
48	Bambu Kilici+8
49	Bambu Kilici+9
50	Genis kiliç+0
51	Genis kiliç+1
52	Genis kiliç+2
53	Genis kiliç+3
54	Genis kiliç+4
55	Genis kiliç+5
56	Genis kiliç+6
57	Genis kiliç+7
58	Genis kiliç+8
59	Genis kiliç+9
60	Gümüs Kiliç+0
61	Gümüs Kiliç+1
62	Gümüs Kiliç+2
63	Gümüs Kiliç+3
64	Gümüs Kiliç+4
65	Gümüs Kiliç+5
66	Gümüs Kiliç+6
67	Gümüs Kiliç+7
68	Gümüs Kiliç+8
69	Gümüs Kiliç+9
70	Orkide Kilici+0
71	Orkide Kilici+1
72	Orkide Kilici+2
73	Orkide Kilici+3
74	Orkide Kilici+4
75	Orkide Kilici+5
76	Orkide Kilici+6
77	Orkide Kilici+7
78	Orkide Kilici+8
79	Orkide Kilici+9
80	Sahte Kiliç+0
81	Sahte Kiliç+1
82	Sahte Kiliç+2
83	Sahte Kiliç+3
84	Sahte Kiliç+4
85	Sahte Kiliç+5
86	Sahte Kiliç+6
87	Sahte Kiliç+7
88	Sahte Kiliç+8
89	Sahte Kiliç+9
90	Barbar Kilici+0
91	Barbar Kilici+1
92	Barbar Kilici+2
93	Barbar Kilici+3
94	Barbar Kilici+4
95	Barbar Kilici+5
96	Barbar Kilici+6
97	Barbar Kilici+7
98	Barbar Kilici+8
99	Barbar Kilici+9
100	Kanli Kiliç+0
101	Kanli Kiliç+1
102	Kanli Kiliç+2
103	Kanli Kiliç+3
104	Kanli Kiliç+4
105	Kanli Kiliç+5
106	Kanli Kiliç+6
107	Kanli Kiliç+7
108	Kanli Kiliç+8
109	Kanli Kiliç+9
110	Büyük Kiliç+0
111	Büyük Kiliç+1
112	Büyük Kiliç+2
113	Büyük Kiliç+3
114	Büyük Kiliç+4
115	Büyük Kiliç+5
116	Büyük Kiliç+6
117	Büyük Kiliç+7
