Vnum	LocaleName
1	Üç yönlü kesme
106	Þimþek atma
107	Þimþek çaðýrma
108	Þimþek pençesi
109	Þifa
110	Çabukluk
111	Saldýrý +
121	Liderlik
122	Kombo
123	Balýkçýlýk
124	Madencilik
125	Nesne Yaratma
126	Shinsoo Lisaný
127	Chunjo Lisaný
128	Jinno Lisaný
129	Dönüþüm
130	Binicilik
131	At Çaðýrma
132	Otomatik olarak saldýr
137	At Üzerinde Savaþ
138	At Yürüyüþü
139	Güç Dalgasý
140	Ok Saðanaðý
151	Ejderha Gözleri
152	Ejderha Tanrýsý Kaný
153	Ejderha Tanrýsý Kutsamasý
154	Kutsal Zýrh
155	Hýzlandýrma
156	Ejderha Tanrýsý Öfkesi
157	Büyü Desteði
16	Ruh vuruþu
17	Þiddetli vuruþ
171	Kurt nefesi
172	Kurt atlayýþý
175	Çivit kurt ruhu
18	Güçlü vuruþ
19	Güçlü beden
2	Kýlýç çevirme
20	Kýlýç darbesi
21	Kýlýç çemberi
221	Kýlýç Çevirme Misillemesi
222	Suikast Misillemesi
223	Parmak Darbesi Misillemesi
224	Ejderha Atýþý Misillemesi
225	Ruh Vuruþu Misillemesi
226	Ateþli Ok Misillemesi
227	Karanlýk Vuruþ Misillemesi
228	Þimþek Çaðýrma Misillemesi
229	Kurt Nefesi Misillemesi
236	Kýlýç Çevirme Güçlendirmesi
237	Suikast Güçlendirmesi
238	Parmak Darbesi Güçlendirmesi
239	Ejderha Atýþý Güçlendirmesi
240	Ruh Vuruþu Güçlendirmesi
241	Ateþli Ok Güçlendirmesi
242	Karanlýk Vuruþ Güçlendirmesi
243	Þimþek Çaðýrma Güçlendirmesi
244	Kurt Nefesi Güçlendirmesi
3	Öfke
31	Suikast
32	Hýzlý saldýrý
33	Býçak çevirme
34	Kamuflaj
35	Zehirli bulut
36	Sinsi zehir
4	Hava kýlýcý
46	Tekrarlanan atýþ
47	Ok yaðmuru
48	Ateþli ok
49	Hafif adým
5	Hamle
50	Zehirli ok
51	Kývýlcým vuruþu
6	Yaþama isteði
61	Parmak darbesi
62	Ejderha dönüþü
63	Büyülü keskinlik
64	Dehþet
65	Büyülü zýrh
66	Büyü çözme
76	Karanlýk vuruþ
77	Alev vuruþu
78	Ateþ hayaleti
79	Karanlýk koruma
80	Hayalet vuruþu
81	Karanlýk taþ
91	Uçan týlsým
92	Ejderha atýþý
93	Ejderha kükremesi
94	Kutsama
95	Yansýtma
96	Ejderha yardýmý
133	Karizma
134	Ýlham
176	Deprem
177	Iþýk yýldýzý
178	Saldýrý ateþi
179	Ateþ darbesi
180	Ölüm dalgasý
181	Meteor
182	Eter kalkaný
183	Pençe ataðý
246	Tamlýk
170	Yýrtma
173	Kurt pençesi
174	Kýrmýzý kurt ruhu
